id,Gender,Age,City,Country,Profession,Academic Pressure,CGPA,Sleep Duration,Dietary Habits,Degree,Work/Study Hours,Financial Stress,Internet Usage (hrs/day),Physical Activity (hrs/week),Part-Time Job,Social Media Usage (hrs/day),Parental Education Level,Study Environment,Travel Time to Institution (mins),Access to Study Resources,Mental Health Rating (1-5),Number of Siblings
2,Male,33,Visakhapatnam,India,Student,5,8.97,5-6 hours,Healthy,B.Pharm,3,1,5.4,5,No,4.8,Bachelor,Quiet,13,Yes,1,2
8,Female,24,Bangalore,India,Student,2,5.9,5-6 hours,Moderate,BSc,3,2,5.7,7,No,1.3,Master,Quiet,80,Yes,5,2
26,Male,31,Srinagar,India,Student,3,7.03,Less than 5 hours,Healthy,BA,9,1,3.6,9,No,2.8,Bachelor,Quiet,29,No,4,2
30,Female,28,Varanasi,India,Student,3,5.59,7-8 hours,Moderate,BCA,4,5,5.2,6,No,2.2,Master,Noisy,40,No,2,4
32,Female,25,Jaipur,India,Student,4,8.13,5-6 hours,Moderate,M.Tech,1,1,5.7,6,No,2.5,High School,Noisy,8,No,4,2
33,Male,29,Pune,India,Student,2,5.7,Less than 5 hours,Healthy,PhD,4,1,5.1,1,Yes,4.2,Bachelor,Noisy,65,No,4,0
52,Male,30,Thane,India,Student,3,9.54,7-8 hours,Healthy,BSc,1,2,4.6,4,Yes,4.8,PhD,Moderate,66,Yes,1,0
56,Female,30,Chennai,India,Student,2,8.04,Less than 5 hours,Unhealthy,Class 12,0,1,3,8,No,1.9,Master,Noisy,53,Yes,1,3
59,Male,28,Nagpur,India,Student,3,9.79,7-8 hours,Moderate,B.Ed,12,3,1.8,9,No,1.1,PhD,Moderate,23,Yes,4,1
62,Male,31,Nashik,India,Student,2,8.38,Less than 5 hours,Moderate,LLB,2,5,4,0,Yes,2,PhD,Quiet,87,Yes,3,1
83,Male,24,Nagpur,India,Student,3,6.1,5-6 hours,Moderate,Class 12,11,1,6,5,Yes,4,Master,Moderate,33,Yes,2,3
91,Male,33,Vadodara,India,Student,3,7.03,Less than 5 hours,Healthy,BE,10,2,2.8,4,No,1.2,Bachelor,Quiet,21,Yes,1,3
94,Male,27,Kalyan,India,Student,5,7.04,Less than 5 hours,Moderate,M.Tech,10,1,5,3,No,3.5,Master,Noisy,54,No,5,0
100,Female,19,Rajkot,India,Student,2,8.52,Less than 5 hours,Unhealthy,Class 12,6,2,3.1,5,Yes,4.4,Master,Moderate,70,No,1,4
103,Female,19,Kalyan,India,Student,5,5.64,Less than 5 hours,Moderate,Class 12,4,5,5.3,2,No,4.1,High School,Moderate,13,Yes,1,2
106,Male,29,Srinagar,India,Student,3,8.58,More than 8 hours,Moderate,M.Tech,10,2,1.5,5,Yes,3.4,PhD,Noisy,36,Yes,3,3
120,Male,25,Nashik,India,Student,5,6.51,Less than 5 hours,Unhealthy,M.Ed,2,5,3,9,No,3.9,Master,Moderate,68,Yes,4,0
132,Female,20,Ahmedabad,India,Student,5,7.25,5-6 hours,Healthy,Class 12,10,3,4.9,2,Yes,2.5,Bachelor,Quiet,66,Yes,3,4
139,Male,19,Chennai,India,Student,2,7.83,7-8 hours,Unhealthy,Class 12,6,3,4.3,2,No,2.1,High School,Quiet,86,No,3,2
145,Male,25,Kalyan,India,Student,3,9.93,5-6 hours,Moderate,B.Ed,8,3,3.4,1,Yes,2.1,Bachelor,Moderate,37,Yes,1,3
161,Male,29,Kolkata,India,Student,3,8.74,5-6 hours,Moderate,B.Ed,1,1,2.5,8,Yes,2.2,Bachelor,Moderate,8,Yes,1,4
162,Male,29,Kolkata,India,Student,3,6.73,7-8 hours,Moderate,M.Tech,0,1,5.4,7,Yes,3.7,Bachelor,Noisy,45,Yes,4,0
166,Female,25,Ahmedabad,India,Student,3,5.57,More than 8 hours,Unhealthy,MSc,10,5,5.6,4,Yes,3.2,Bachelor,Moderate,60,Yes,1,1
172,Male,23,Thane,India,Student,1,8.59,7-8 hours,Healthy,BHM,11,3,1.8,0,Yes,1.5,Bachelor,Quiet,12,Yes,2,4
173,Male,18,Bangalore,India,Student,4,7.1,More than 8 hours,Unhealthy,Class 12,11,5,5.7,9,No,4.3,Master,Quiet,13,Yes,1,2
176,Female,20,Mumbai,India,Student,5,8.58,7-8 hours,Moderate,Class 12,2,2,1.2,3,Yes,1.3,High School,Quiet,27,No,3,3
186,Male,31,Ahmedabad,India,Student,2,6.08,7-8 hours,Moderate,LLB,3,3,2.9,8,Yes,4.7,High School,Noisy,87,No,4,4
193,Male,25,Lucknow,India,Student,3,7.25,More than 8 hours,Unhealthy,M.Ed,10,5,5.6,0,No,3.3,Master,Moderate,46,No,1,4
208,Male,33,Indore,India,Student,5,5.74,Less than 5 hours,Moderate,M.Pharm,8,3,6,1,Yes,1.9,Master,Quiet,34,Yes,4,3
